"V1","V2","V3","V4"
-0.049464811318831,-0.978460869565217,-0.174864675027713,1
-0.0486242076174543,-0.978460869565217,-0.17589279439337,1
-0.0484178063280932,-0.978460869565217,-0.176234080941822,1
-0.0478000002221665,-0.978460869565217,-0.176713721071927,1
-0.0473735188867365,-0.978460869565217,-0.177054858178669,1
-0.0462973640496276,-0.978460869565217,-0.177423943147734,1
-0.0457608643266981,-0.978460869565217,-0.177573564317579,1
-0.0451982820590506,-0.978460869565217,-0.177544492843441,1
-0.0436026631699668,-0.978460869565217,-0.177514999841648,1
-0.0416368552970285,-0.978460869565217,-0.176877991436387,1
-0.0411298900439684,-0.978460869565217,-0.176729474780623,1
-0.0395806551270317,-0.978460869565217,-0.175313722537987,1
-0.0388075465198555,-0.978460869565217,-0.174757137588984,1
-0.0375759473241274,-0.978460869565217,-0.17368852596282,1
-0.0363608655162509,-0.978460869565217,-0.172453655284737,1
-0.0344653088723583,-0.978460869565217,-0.170642461136563,1
-0.0336356359994921,-0.978460869565217,-0.169874194896126,1
-0.0330553922306449,-0.978460869565217,-0.169532682862985,1
-0.0296203041021379,-0.978460869565217,-0.168557308025354,1
-0.0295605228494688,-0.978460869565217,-0.168576791229928,1
-0.0295397956621963,-0.978460869565217,-0.168594488369621,1
-0.0278356849432294,-0.978460869565217,-0.1696349702209,1
-0.0272491653444362,-0.978460869565217,-0.17011334015096,1
-0.0262471971373625,-0.978460869565217,-0.170911183630107,1
-0.0246258867477857,-0.978460869565217,-0.171677684714054,1
-0.0242050919439822,-0.978460869565217,-0.171922238649332,1
-0.0233229988308458,-0.978460869565217,-0.172121328794739,1
-0.0210604252532342,-0.978460869565217,-0.171877310104899,1
-0.0180125452363322,-0.978460869565217,-0.171165150927064,1
-0.0168222974242456,-0.978460869565217,-0.170653148711942,1
-0.0126836452538616,-0.978460869565217,-0.168851530636793,1
-0.0115363939829319,-0.978460869565217,-0.168754870465346,1
-0.0086860240096335,-0.978460869565217,-0.168441434412956,1
-0.00627397595596956,-0.978460869565217,-0.169187845895176,1
-0.00609808768998147,-0.978460869565217,-0.169193890387595,1
-0.00587340899676369,-0.978460869565217,-0.169266363944343,1
-0.00333065959681437,-0.978460869565217,-0.170085884060167,1
-0.00042798586910767,-0.978460869565217,-0.170190366402087,1
0.000603436193160363,-0.978460869565217,-0.170236253884138,1
0.00158761560046283,-0.978460869565217,-0.170138301323385,1
0.00601821986343524,-0.978460869565217,-0.167087230061864,1
0.00769936327006408,-0.978460869565217,-0.165842626785422,1
0.0117898544640152,-0.978460869565217,-0.162297585401899,1
0.0135714498056184,-0.978460869565217,-0.160741002970536,1
0.0155759614207681,-0.978460869565217,-0.159075004184287,1
0.0197417412682244,-0.978460869565217,-0.15549628172857,1
0.0217999081272337,-0.978460869565217,-0.154002939467357,1
0.0262865982256872,-0.978460869565217,-0.150523798749802,1
0.029658553205962,-0.978460869565217,-0.148071165737783,1
0.0329400701159178,-0.978460869565217,-0.145700391292813,1
0.0352234868640207,-0.978460869565217,-0.142816474091475,1
0.0379462818583492,-0.978460869565217,-0.139381384603283,1
0.0399506422503398,-0.978460869565217,-0.136093288950044,1
0.0420518241287227,-0.978460869565217,-0.13251734413941,1
0.043807180894181,-0.978460869565217,-0.129953487478813,1
0.0464677250626751,-0.978460869565217,-0.125950062161072,1
